countries,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual,ISO_code,year,region,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Sweden,Western Europe,10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,2016,Western Europe,8.539644459,9.854954616,10,8.884814815,10,9.726190476,8.75,3.620602928,7.816366289,9.34256119,8.198228523,8.230154625,9.334750298,3,7.44,43,8.387375149,17,1
Switzerland,Western Europe,2,7.509,7.428,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,2016,Western Europe,8.249290426,9.650707897,10,8.188518519,10,9.666666667,9.25,7.42556634,8.497326383,9.922186836,7.636967263,8.475246512,9.185518099,10,8.39,4,8.78775905,2,1
Syria,Middle East and Northern Africa,156,3.069,2.936,3.202,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,SYR,2016,Middle East & North Africa,1.980355364,4.984072935,0,4.405555556,1.5,1.758817876,0,6.196670228,3.444509203,5.11957662,4.912573675,5.444444842,2.511653754,161,5.02,157,3.765826877,162,4
Taiwan,Eastern Asia,34,6.379,6.305,6.453,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,TWN,2016,East Asia,6.98399638,9.724331089,10,9.357407407,10,9.285714286,10,7.206125318,6.772497404,9.717084408,7.729709837,8.034407747,9.041394037,15,7.89,12,8.465697018,10,1
Tajikistan,Central and Eastern Europe,100,4.996,4.923,5.069,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,TJK,2016,Caucasus & Central Asia,3.297263673,8.393621945,8.333333333,4.355555556,2,4.273809524,8.333333333,6.526173139,5.124943241,8.831414728,6.362292909,6.769223369,5.652324579,132,6.72,92,6.18616229,124,4
Tanzania,Sub-Saharan Africa,149,3.666,3.561,3.771,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,TZA,2016,Sub-Saharan Africa,4.244131053,7.349099273,8.333333333,6.447777778,5,7.5,5,7.314762736,5.659837689,8.221423469,6.2063089,7.208976699,6.126418693,116,6.92,79,6.523209346,102,3
Thailand,Southeastern Asia,33,6.474,6.396,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,THA,2016,South Asia,4.286364947,8.66305117,8.333333333,7.255925926,4.5,7.15782646,4.375,6.642645685,4.741393669,8.637097548,7.108491873,7.100074303,6.399562601,106,6.85,84,6.624781301,98,3
Togo,Sub-Saharan Africa,155,3.303,3.192,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,TGO,2016,Sub-Saharan Africa,4.083063827,8.033344298,6.666666667,8.877407407,8,8.464285714,5,6.71990382,3.675637715,7.027928927,5.419145767,6.27724085,6.72993801,92,5.82,141,6.274969005,119,3
Trinidad and Tobago,Latin America and Caribbean,43,6.168,5.95,6.386,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,TTO,2016,Latin America & the Caribbean,4.731368885,5.944444444,10,8.616111111,8.5,8.729166667,6.666666667,5.595294029,4.542519459,9.051274803,7.841115334,6.61549302,6.920446388,82,6.73,91,6.825223194,81,2
Tunisia,Middle East and Northern Africa,98,5.045,4.965,5.125,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,TUN,2016,Middle East & North Africa,4.757803695,7.562090498,8.333333333,6.457407407,8,8.017579553,4.166666667,5.805729204,5.276037704,7.061833002,6.911721762,6.389315893,6.577472244,98,6.29,121,6.433736122,109,3
Turkey,Middle East and Northern Africa,78,5.389,5.295,5.483,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,TUR,2016,Middle East & North Africa,3.974523246,7.51287008,10,4.494074074,4.5,3.962095697,9.25,6.576429967,4.778738645,9.012961525,7.217832757,6.629945973,6.092465309,118,6.84,86,6.466232654,107,3
Uganda,Sub-Saharan Africa,145,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,UGA,2016,Sub-Saharan Africa,3.363040892,7.002780033,8.333333333,8.398148148,7,7.892857143,3.75,8.2875,4.730399908,8.647257101,7.453716468,7.952857152,6.128889094,115,7.41,46,6.769444547,85,3
Ukraine,Central and Eastern Europe,123,4.324,4.236,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,UKR,2016,Eastern Europe,4.546373559,7.382567982,8.333333333,5.857777778,5.5,7.099239115,9.25,7.085854562,4.519291988,4.880977321,6.558300939,6.863745425,6.586270408,97,5.98,134,6.283135204,118,3
United Arab Emirates,Middle East and Northern Africa,28,6.573,6.494,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,ARE,2016,Middle East & North Africa,6.365951177,7.991936297,3.333333333,4.695925926,0.5,6.30952381,0,6.722602587,6.057111609,9.103967524,8.231247009,7.384832458,5.073350176,149,7.5,37,6.286675088,117,3
United Kingdom,Western Europe,23,6.725,6.647,6.803,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,GBR,2016,Western Europe,7.716556989,9.832564275,10,7.585555556,10,9.25,9.25,5.664386473,7.849331943,9.843565028,8.439080331,8.225900955,8.995835872,18,8,9,8.497917936,8,1
United States,North America,13,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,USA,2016,North America,6.949911658,9.101098169,10,8.854074074,10,9.241503522,9.25,6.426333682,7.396209007,9.84787425,7.653328354,8.827599714,8.747310216,28,8.03,6,8.388655108,17,1
Uruguay,Latin America and Caribbean,29,6.545,6.456,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,URY,2016,Latin America & the Caribbean,6.641640406,8.408217822,10,8.47962963,7.5,9.357142857,10,6.839554695,5.362794124,8.971845842,7.793198184,6.815292504,8.296141806,37,7.16,65,7.728070903,43,2
Venezuela,Latin America and Caribbean,44,6.084,5.973,6.195,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,VEN,2016,Latin America & the Caribbean,2.060257402,6.294475638,8.333333333,6.884814815,6.5,5.109508378,7.5,4.68978402,2.00291539,1.942101065,3.281311445,2.483540144,5.521448913,135,2.88,162,4.200724456,161,4
Vietnam,Southeastern Asia,96,5.061,4.991,5.131,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,VNM,2016,South Asia,4.91207109,8.630880895,3.333333333,5.895925926,1.5,5.843436781,9.25,7.607352941,5.060821486,6.46894336,6.27620744,6.701358455,5.9680076,125,6.42,112,6.1940038,124,4
Zambia,Sub-Saharan Africa,106,4.795,4.645,4.945,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,ZMB,2016,Sub-Saharan Africa,4.115583727,8.282496424,5,7.332777778,5.5,6.765986103,4.166666667,6.064705882,5.333995633,8.262900908,6.97224652,6.412301094,6.007698856,123,6.61,97,6.308849428,116,3
Zimbabwe,Sub-Saharan Africa,131,4.193,4.101,4.285,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,ZWE,2016,Sub-Saharan Africa,3.507598954,7.610858901,5,6.427777778,2.5,6.65,3.333333333,6.146323529,3.750569595,8.298249478,5.56135516,6.547778391,5.170725575,148,6.06,127,5.615362787,143,4
